ServerName,Database,Table,Column
Oracle,localhost,XE,ALL_UNIFIED_AUDIT_ACTIONS,ACTION
Oracle,localhost,XE,ALL_UNIFIED_AUDIT_ACTIONS,NAME
Oracle,localhost,XE,DBA_SENSITIVE_DATA_TBL,SENSITIVE#
Oracle,localhost,XE,DBA_SENSITIVE_DATA_TBL,SCHEMA_NAME
Oracle,localhost,XE,DBA_SENSITIVE_DATA_TBL,TABLE_NAME
Oracle,localhost,XE,DBA_SENSITIVE_DATA_TBL,COLUMN_NAME
Oracle,localhost,XE,DBA_SENSITIVE_DATA_TBL,SENSITIVE_TYPE
Oracle,localhost,XE,DBA_SENSITIVE_DATA_TBL,SOURCE_NAME
Oracle,localhost,XE,DBA_SENSITIVE_DATA_TBL,USER_COMMENT
Oracle,localhost,XE,DBA_SENSITIVE_DATA_TBL,TS
